id,category,stem,options,answer,action,reason,source
flag_q_Sgbu8TlQDi8O,C-车牌水印干扰,图中这辆上路学习驾驶的自学直考车有什么违法行为？,鄂K·R1234 | 搭载随车指导人员以外的其他人员 | 学车专用标识粘贴的位置不符合B规定 | 自学人员和随车指导人员都没有系安全带,鄂K·R1234,看原图判定,答案被车牌水印覆盖，需按图确认,视频录入
flag_q_lDDvel4VQpGz,C-车牌水印干扰,请判断一下，图中黄色小型汽车的违法行为是什么？,鄂K·R1234 | 强行从右侧超车 | 越黄线行驶 | 占用专用车道,越黄线行驶,看原图判定,选项[0]是车牌号，需按图确认,视频录入
flag_q_q-Zr9O2_8D0A,C-车牌水印干扰,图中上路学习驾驶的自学直考车有什么违法行为？,鄂K·R1234 | 搭载随车指导人员以外的其他人员 | 学车专用标识粘贴的位置不符合B规定 | 自学人员和随车指导人员都没有系安全带,鄂K·R1234,看原图判定,答案被车牌水印覆盖，需按图确认,视频录入
flag_q_ilr5A2aKKZAR,C-车牌水印干扰,驾驶这种自学直考机动车上路学习驾驶，需符合什么条件？,鄂KR8430 | 有随车人员指导 | 取得学习驾驶证明 | 符合自学直考规定,取得学习驾驶证明,看原图判定,选项[0]是车牌号不是有效选项，需按图确认,视频录入
qi_item_2r-hN-PW428-,A-依赖图（答案在图里）,如图所示，在没有中心线的道路上遇对向来车时，应怎样行驶？,减速靠右通行 | 借非机动车道行驶 | 骑轧路侧白线行驶 | 靠路中心行驶,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_RdmH_fskRluI,A-依赖图（答案在图里）,如图所示，红圈内符号表示什么含义？,前风窗玻璃刮水器及洗涤器 | 后风窗玻璃除霜或除雾 | 后风窗玻璃刮水器及洗涤器 | 前风窗玻璃除霜或除雾,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_Q9OFKtLD2DpE,A-依赖图（答案在图里）,如图所示，在没有中心隔离设施或没有中心线的道路上会车时，以下错误的做法是什么？,减速靠右行驶 | 驶近会车地点过程中降低车速 | 预留足够横向安全距离 | 加速通过,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_KJ6amuQ-RAau,A-依赖图（答案在图里）,红圈内导向箭头含义是（ ）。,指示前方可左转或掉头 | 指示前方可直行或左转 | 指示前方可直行或掉头,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_nETN6mZIhVmc,A-依赖图（答案在图里）,红圈内导向箭头含义是（ ）。,指示前方可直行或向左变道 | 指示前方可直行或左转 | 指示前方可直行或掉头,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_fXYE0Lf6fRDm,A-依赖图（答案在图里）,这个导向箭头是何含义？,提示前方有左弯或需向左合流 | 提示前方有右弯或需向右合流 | 提示前方右侧有障碍或需向左合流 | 提示前方有左弯或需向左绕行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_j5tSJeOBx_Cn,A-依赖图（答案在图里）,路面上导向箭头是何含义？,提示前方有左弯或需向左合流 | 提示前方有右弯或需向右合流 | 提示前方有障碍需向左合流 | 提示前方有左弯或需向左绕行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_PhppSbCLQyrf,A-依赖图（答案在图里）,路面上导向箭头是何含义？,指示前方道路是Y形交叉口 | 指示前方道路是分离式道路 | 指示前方道路仅可左右转弯 | 指示前方道路需向左右合流,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_OkUvE9PDumWG,A-依赖图（答案在图里）,红圈内路面标记表示该车道（ ）。,最低限速为100公里/小时 | 平均速度为100公里/小时 | 解除100公里/小时限速,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_NzLtBKz-tXJo,A-依赖图（答案在图里）,红圈内路面标记表示该车道（ ）。,最低限速为80公里/小时 | 平均速度为80公里/小时 | 解除80公里/小时限速,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_PSlMwPxYpEYU,A-依赖图（答案在图里）,红圈内路面标记表示（ ）。,自行车专用道 | 非机动车道,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item__gK-ZTWaKn04,A-依赖图（答案在图里）,路面上的菱形块虚线是何含义？,车行道纵向减速标线 | 道路施工提示标线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_LNGdOBcZGYdU,A-依赖图（答案在图里）,图中黄车进入减速车道时，以下灯光操作正确的是（ ）。,开启远光灯 | 开启危险报警闪光灯 | 开启近光灯,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_YMupUKPbLHem,A-依赖图（答案在图里）,在高速公路遇图中所示情况时，以下做法正确的是（ ）。,增大跟车距离 | 加速行驶 | 停在应急车道 | 紧跟前车,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_4IlzsVMOkSlm,A-依赖图（答案在图里）,如图所示，驾驶机动车在路口直行遇到这种信号灯应该怎样行驶？,不得越过停止线 | 加速直行通过 | 左转弯行驶 | 进入路口等待,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_55I3w34HzBM0,A-依赖图（答案在图里）,路中两条双黄色虚线是什么标线？,单向分道线 | 可跨越分道线 | 潮汐车道线 | 双向分道线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_wswqy5p-71EV,A-依赖图（答案在图里）,路右侧车行道边缘白色虚线是什么含义？,车辆可临时越线行驶 | 车辆禁止越线行驶 | 应急车道分界线 | 人行横道分界线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_Vq0jd3eXH-Hz,A-依赖图（答案在图里）,图中圈内白色虚线是什么标线？,小型车转弯线 | 车道连接线 | 非机动车引导线 | 路口导向线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_ofyjkUjT01Ch,A-依赖图（答案在图里）,图中圈内黄色虚线是什么标线？,路口导向线 | 非机动车引导线 | 车道连接线 | 小型车转弯线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_WVUN_MGfKEP8,A-依赖图（答案在图里）,图中圈内的路面标记是什么标线？,路口示意线 | 停车让行线 | 减速让行线 | 人行横道线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_IwmKHGbk5HgL,A-依赖图（答案在图里）,红圈内标线表示虚线一侧机动车可临时变换车道进出港湾。,正确 | 错误,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_4yHlYNDmr2zU,A-依赖图（答案在图里）,路面由白色虚线和三角地带标线组成的是什么标线？,道路入口标线 | 可跨越式分道线 | 道路出口减速线 | 道路出口标线,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_BfQCDkfzWg_z,A-依赖图（答案在图里）,图中路面标记表示该路段最低限速50km/h。,正确 | 错误,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_ZF4_WhWVDy2R,A-依赖图（答案在图里）,如图所示，在高速公路同方向三条机动车道最左侧车道行驶，应保持什么车速？,60公里/小时-120公里/小时 | 90公里/小时-120公里/小时 | 100公里/小时-120公里/小时 | 110公里/小时-120公里/小时,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_qrgSH-xBCsZR,A-依赖图（答案在图里）,如图所示，在同方向三条机动车道的高速公路最右侧车道行驶，车速不能低于多少？,60公里/小时 | 80公里/小时 | 100公里/小时 | 110公里/小时,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_oxP57ps0Ad1d,A-依赖图（答案在图里）,如图所示，在同向三车道高速公路上行车，车速高于每小时110公里的车辆应在哪条车道上行驶？,中间车道 | 最右侧车道 | 最左侧车道 | 哪条都行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_OqzxzqHfdTLK,A-依赖图（答案在图里）,如图所示，在同方向两条机动车道的高速公路左侧车道行驶，应保持什么车速？,60公里/小时-120公里/小时 | 90公里/小时-110公里/小时 | 100公里/小时-120公里/小时 | 110公里/小时-120公里/小时,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_jdbyuHLjeUPw,A-依赖图（答案在图里）,如图所示，在同方向三条机动车道的高速公路中间车道行驶，车速不能低于多少公里？,60公里/小时 | 90公里/小时 | 100公里/小时 | 110公里/小时,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_0Pv5zp2tMBhX,A-依赖图（答案在图里）,如图所示，驾驶小型载客汽车在高速公路上行驶，同方向有2条车道的，左侧车道的最低车速为每小时多少公里？,80 | 90,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_y7HD9BOCRPGH,A-依赖图（答案在图里）,这个标志是何含义？,提醒车辆驾驶人前方道路沿水库、湖泊、河流 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续上坡路段,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_I2bcyEoDZJ0d,A-依赖图（答案在图里）,这个标志是何含义？,提醒车辆驾驶人前方有两个及以上的连续上坡路段 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续下坡路段,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_-ndvsa5P3bcZ,A-依赖图（答案在图里）,如图所示，驾驶机动车遇到这种情况，以下做法正确的是什么？,长鸣喇叭催促行人快速通过 | 开启远光灯警示行人有车辆驶近 | 降低行驶速度，避让行人 | 适当加速从行人前方绕行,,补图后看图定答案,正确答案不能为空,OCR录入
qi_item_qhMGX9Jll3L1,A-依赖图（答案在图里）,如图所示，蓝色车辆遇到图中情形时，下列做法正确的是？,按照前方交通信号灯指示直接通行 | 鸣喇叭提醒，让学生队伍中空出一个缺口，从缺口中穿行过去 | 停车等待，直到学生队伍完全通过 | 鸣喇叭，催促还未通过的学生加快速度通过,,补图后看图定答案,正确答案不能为空,OCR录入
